Class,Precision,Recall,F1_Score,Specificity,Support
akiec,0.857142857142857,0.375,0.521739130434782,0.997914494264859,32
bcc,0.813953488372093,0.686274509803922,0.74468085106383,0.991489361702128,51
bkl,0.631578947368421,0.770642201834862,0.694214876033058,0.944444444444444,109
df,0.4,0.545454545454545,0.461538461538462,0.990816326530612,11
mel,0.564102564102564,0.8,0.661654135338346,0.922814982973893,110
nv,0.954619124797407,0.887048192771084,0.919594067135051,0.914373088685015,664
vasc,1,0.928571428571429,0.962962962962963,1,14
